34	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
35	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
44	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
45	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
46	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
47	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
48	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
49	1e-05	0	2e-05	1e-05	-3e-05	0	-2e-05	0	1
50	-2e-05	-3e-05	-3e-05	-2e-05	3e-05	0	3e-05	0	1
51	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
53	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
54	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
55	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
56	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
57	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
58	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
59	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
60	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
61	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
62	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
63	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
64	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
65	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
66	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
67	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
68	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
69	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
70	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
71	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
72	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
73	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
74	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
75	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
76	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
77	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
78	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
79	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
80	-2e-05	-4e-05	-6e-05	-2e-05	6e-05	0	-2e-05	-3e-05	1
81	0	3e-05	1e-05	-2e-05	-0.00015	0	-1e-05	0	1
82	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
83	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
84	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
85	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
86	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
89	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
90	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
91	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
92	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
93	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
94	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
95	2e-05	2e-05	6e-05	6e-05	9e-05	4e-05	0	1e-05	1
96	-2e-05	-4e-05	-3e-05	2e-05	-2e-05	0	-1e-05	-2e-05	1
97	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
98	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
99	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
100	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
101	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
102	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
103	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
104	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
105	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
106	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
107	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
108	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
109	-2e-05	-3e-05	-1e-05	5e-05	5e-05	-1e-05	0	1e-05	1
110	0	1e-05	3e-05	1e-05	0	-2e-05	-2e-05	1e-05	1
111	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
112	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
113	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
114	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
115	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
116	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
117	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
118	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
119	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
120	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
121	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
122	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
123	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
124	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
125	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
126	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
127	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
128	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
129	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
130	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
131	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
132	-1e-05	-1e-05	0	-2e-05	-2e-05	0	-2e-05	-2e-05	1
133	-2e-05	1e-05	-2e-05	-3e-05	3e-05	-1e-05	0	-1e-05	1
134	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
135	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
136	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
138	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
139	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
140	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
141	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
142	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
143	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
144	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
145	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
146	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
147	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
148	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
149	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
150	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
151	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
152	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
153	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
154	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
155	0	0	0	-1e-05	-5e-05	-3e-05	0	0	1
156	0	-2e-05	-4e-05	-5e-05	-3e-05	0	-2e-05	-3e-05	1
157	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
158	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
159	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
160	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
161	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
162	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
163	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
164	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
165	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
166	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
167	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
168	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
169	1e-05	-1e-05	1e-05	1e-05	-2e-05	2e-05	-1e-05	-1e-05	1
170	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
171	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
172	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
173	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
175	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
176	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
177	-1e-05	1e-05	-2e-05	0	4e-05	0	0	-3e-05	1
178	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
179	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
180	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
181	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
182	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
183	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
184	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
185	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
186	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
188	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
189	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
190	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
191	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
192	-2e-05	-1e-05	-3e-05	-4e-05	-6e-05	-4e-05	-1e-05	0	1
193	-1e-05	-1e-05	-2e-05	-3e-05	-7e-05	-2e-05	-1e-05	-2e-05	1
194	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
195	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
196	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
197	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
198	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
199	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
200	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
201	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
202	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
203	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
204	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
205	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
206	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
207	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
208	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
209	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
210	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
211	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
212	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
213	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
214	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
215	-1e-05	-2e-05	-6e-05	-5e-05	3e-05	-1e-05	-1e-05	-1e-05	1
216	0	-2e-05	0	1e-05	-1e-05	-1e-05	-2e-05	1e-05	1
217	0	1e-05	2e-05	0	0	-2e-05	0	0	1
218	0	1e-05	2e-05	0	0	-2e-05	0	0	1
219	0	1e-05	2e-05	0	0	-2e-05	0	0	1
220	0	1e-05	2e-05	0	0	-2e-05	0	0	1
221	0	1e-05	2e-05	0	0	-2e-05	0	0	1
222	0	1e-05	2e-05	0	0	-2e-05	0	0	1
224	0	1e-05	2e-05	0	0	-2e-05	0	0	1
225	0	1e-05	2e-05	0	0	-2e-05	0	0	1
226	0	1e-05	2e-05	0	0	-2e-05	0	0	1
227	0	1e-05	2e-05	0	0	-2e-05	0	0	1
228	0	1e-05	2e-05	0	0	-2e-05	0	0	1
229	0	1e-05	2e-05	0	0	-2e-05	0	0	1
230	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
232	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
233	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
234	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
235	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
236	-1e-05	0	0	1e-05	0	-4e-05	-1e-05	0	1
240	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
242	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
243	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
244	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
245	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
246	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
248	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
249	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
250	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
251	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
252	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
253	-2e-05	0	0	-2e-05	-4e-05	-1e-05	-1e-05	-1e-05	1
254	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
255	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
256	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
257	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
258	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
259	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
260	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
261	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
262	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
263	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
264	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
265	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
266	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
267	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
268	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
269	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
270	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
271	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
272	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
273	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
274	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
275	-1e-05	-5e-05	-5e-05	-4e-05	-4e-05	-2e-05	-3e-05	-3e-05	1
276	0	0	0	-2e-05	-1e-05	0	-1e-05	-4e-05	1
277	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
278	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
279	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
280	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
281	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
282	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
283	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
284	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
285	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
286	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
289	-2e-05	-4e-05	-5e-05	-1e-05	-0.00013	-1e-05	0	0	1
290	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
291	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
292	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
293	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
294	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
295	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
296	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
297	-1e-05	-1e-05	3e-05	2e-05	1e-05	0	-1e-05	0	1
298	0	-3e-05	-1e-05	-6e-05	-4e-05	-2e-05	-1e-05	0	1
299	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
300	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
301	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
302	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
303	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
304	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
305	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
306	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
307	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
308	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
309	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
310	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
312	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
313	0	-1e-05	-1e-05	0	-3e-05	-1e-05	-1e-05	-1e-05	1
314	0	-2e-05	-2e-05	0	-4e-05	-2e-05	0	0	1
315	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
316	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
317	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
318	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
319	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
320	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
321	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
322	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
323	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
324	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
325	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
326	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
327	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
328	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
329	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
330	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
331	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
332	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
333	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
334	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
335	1e-05	0	1e-05	-1e-05	1e-05	-1e-05	-2e-05	-1e-05	1
337	-3e-05	-2e-05	-4e-05	-2e-05	1e-05	2e-05	-2e-05	-1e-05	1
340	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
341	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
342	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
343	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
344	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
345	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
346	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
347	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
348	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
349	-1e-05	-2e-05	-1e-05	-2e-05	0	-2e-05	0	-1e-05	1
350	-1e-05	-1e-05	-2e-05	0	4e-05	-1e-05	-1e-05	1e-05	1
351	-1e-05	-1e-05	-2e-05	0	4e-05	-1e-05	-1e-05	1e-05	1
352	-1e-05	-1e-05	-2e-05	0	4e-05	-1e-05	-1e-05	1e-05	1
